opening_date(kor),closing_date(kor),opening_price,closing_price,high_price,low_price,trade_price,trade_volume
2019-03-03 7:00,2019-03-03 8:00,4249000,4256000,4256000,4245000,4256000,49.85526529
2019-03-03 8:00,2019-03-03 9:00,4256000,4253000,4257000,4246000,4253000,68.10360601
2019-03-03 9:00,2019-03-03 10:00,4253000,4256000,4262000,4248000,4256000,145.3070938
2019-03-03 10:00,2019-03-03 11:00,4256000,4256000,4259000,4251000,4256000,102.8480104
2019-03-03 11:00,2019-03-03 12:00,4256000,4251000,4258000,4249000,4253000,100.5861258
2019-03-03 12:00,2019-03-03 13:00,4251000,4255000,4259000,4251000,4255000,82.64009028
2019-03-03 13:00,2019-03-03 14:00,4255000,4258000,4262000,4254000,4258000,110.7284008
2019-03-03 14:00,2019-03-03 15:00,4258000,4250000,4260000,4250000,4250000,101.8201082
2019-03-03 15:00,2019-03-03 16:00,4250000,4254000,4260000,4250000,4254000,112.3009268
2019-03-03 16:00,2019-03-03 17:00,4254000,4252000,4256000,4249000,4254000,112.8893261
2019-03-03 17:00,2019-03-03 18:00,4252000,4248000,4258000,4240000,4248000,159.3236576
2019-03-03 18:00,2019-03-03 19:00,4248000,4249000,4253000,4244000,4251000,126.5034712
2019-03-03 19:00,2019-03-03 20:00,4249000,4250000,4253000,4246000,4248000,108.2520488
2019-03-03 20:00,2019-03-03 21:00,4250000,4249000,4255000,4247000,4249000,124.8581257
2019-03-03 21:00,2019-03-03 22:00,4249000,4255000,4257000,4244000,4253000,199.6048456
2019-03-03 22:00,2019-03-03 23:00,4255000,4257000,4260000,4241000,4258000,383.3402579
2019-03-03 23:00,2019-03-04 0:00,4257000,4247000,4260000,4245000,4249000,130.9180395
2019-03-04 0:00,2019-03-04 1:00,4247000,4229000,4250000,4225000,4229000,214.9138895
2019-03-04 1:00,2019-03-04 2:00,4229000,4241000,4250000,4215000,4236000,170.0958343
2019-03-04 2:00,2019-03-04 3:00,4241000,4237000,4247000,4234000,4240000,56.91398125
2019-03-04 3:00,2019-03-04 4:00,4237000,4243000,4244000,4237000,4243000,29.69352085
2019-03-04 4:00,2019-03-04 5:00,4243000,4240000,4245000,4235000,4240000,28.54027273
2019-03-04 5:00,2019-03-04 6:00,4240000,4241000,4244000,4235000,4244000,14.93046545
2019-03-04 6:00,2019-03-04 7:00,4241000,4236000,4244000,4229000,4236000,44.45340169
2019-03-04 7:00,2019-03-04 8:00,4236000,4233000,4241000,4228000,4234000,61.70821545
2019-03-04 8:00,2019-03-04 9:00,4233000,4239000,4244000,4220000,4239000,134.7672182
2019-03-04 9:00,2019-03-04 10:00,4239000,4253000,4255000,4234000,4255000,328.3872087
2019-03-04 10:00,2019-03-04 11:00,4253000,4251000,4257000,4243000,4250000,265.3967108
2019-03-04 11:00,2019-03-04 12:00,4251000,4250000,4253000,4241000,4250000,232.4416278
2019-03-04 12:00,2019-03-04 13:00,4250000,4226000,4250000,4225000,4226000,293.8792421
2019-03-04 13:00,2019-03-04 14:00,4226000,4192000,4232000,4177000,4192000,597.6690943
2019-03-04 14:00,2019-03-04 15:00,4192000,4161000,4193000,4139000,4162000,671.12674
2019-03-04 15:00,2019-03-04 16:00,4161000,4166000,4169000,4150000,4166000,290.9165214
2019-03-04 16:00,2019-03-04 17:00,4166000,4166000,4182000,4164000,4166000,291.0936826
2019-03-04 17:00,2019-03-04 18:00,4166000,4156000,4170000,4151000,4155000,309.5838625
2019-03-04 18:00,2019-03-04 19:00,4156000,4145000,4165000,4140000,4145000,280.7722701
2019-03-04 19:00,2019-03-04 20:00,4145000,4141000,4147000,4121000,4141000,462.0878105
2019-03-04 20:00,2019-03-04 21:00,4141000,4142000,4160000,4131000,4143000,249.1658145
2019-03-04 21:00,2019-03-04 22:00,4142000,4138000,4154000,4130000,4137000,268.5192891
2019-03-04 22:00,2019-03-04 23:00,4138000,4143000,4150000,4120000,4143000,329.6405793
2019-03-04 23:00,2019-03-05 0:00,4143000,4158000,4164000,4140000,4160000,295.5585764
2019-03-05 0:00,2019-03-05 1:00,4158000,4153000,4170000,4153000,4153000,207.2580626
2019-03-05 1:00,2019-03-05 2:00,4153000,4162000,4169000,4152000,4162000,137.7401694
2019-03-05 2:00,2019-03-05 3:00,4162000,4158000,4167000,4154000,4154000,96.6594117
2019-03-05 3:00,2019-03-05 4:00,4158000,4157000,4165000,4147000,4156000,92.609104
2019-03-05 4:00,2019-03-05 5:00,4157000,4157000,4160000,4147000,4157000,27.62161587
2019-03-05 5:00,2019-03-05 6:00,4157000,4156000,4164000,4148000,4159000,41.67269145
2019-03-05 6:00,2019-03-05 7:00,4156000,4156000,4162000,4145000,4156000,63.16038308
2019-03-05 7:00,2019-03-05 8:00,4156000,4141000,4164000,4138000,4141000,165.8670152
2019-03-05 8:00,2019-03-05 9:00,4141000,4155000,4161000,4134000,4155000,153.2312109
2019-03-05 9:00,2019-03-05 10:00,4155000,4157000,4166000,4150000,4158000,318.0160573
2019-03-05 10:00,2019-03-05 11:00,4157000,4142000,4166000,4141000,4142000,281.4331323
2019-03-05 11:00,2019-03-05 12:00,4142000,4134000,4150000,4132000,4134000,359.3423738
2019-03-05 12:00,2019-03-05 13:00,4134000,4146000,4149000,4134000,4145000,218.6769426
2019-03-05 13:00,2019-03-05 14:00,4146000,4148000,4151000,4139000,4147000,264.8358912
2019-03-05 14:00,2019-03-05 15:00,4148000,4148000,4152000,4143000,4148000,297.8013301
2019-03-05 15:00,2019-03-05 16:00,4148000,4146000,4155000,4145000,4146000,239.6065682
2019-03-05 16:00,2019-03-05 17:00,4146000,4157000,4165000,4142000,4157000,288.8829255
2019-03-05 17:00,2019-03-05 18:00,4157000,4172000,4180000,4156000,4172000,400.6476274
2019-03-05 18:00,2019-03-05 19:00,4172000,4168000,4174000,4161000,4166000,261.3527236
2019-03-05 19:00,2019-03-05 20:00,4168000,4169000,4179000,4163000,4169000,325.2420013
2019-03-05 20:00,2019-03-05 21:00,4169000,4179000,4182000,4167000,4177000,349.0023596
2019-03-05 21:00,2019-03-05 22:00,4179000,4182000,4199000,4173000,4182000,557.7816014
2019-03-05 22:00,2019-03-05 23:00,4182000,4258000,4264000,4175000,4257000,960.8686325
2019-03-05 23:00,2019-03-06 0:00,4258000,4238000,4263000,4232000,4238000,534.6569449
2019-03-06 0:00,2019-03-06 1:00,4238000,4236000,4247000,4227000,4236000,279.8825718
2019-03-06 1:00,2019-03-06 2:00,4236000,4216000,4262000,4201000,4216000,614.4694679
2019-03-06 2:00,2019-03-06 3:00,4216000,4228000,4229000,4209000,4228000,226.5406344
2019-03-06 3:00,2019-03-06 4:00,4228000,4228000,4239000,4220000,4228000,131.2278388
2019-03-06 4:00,2019-03-06 5:00,4228000,4243000,4250000,4227000,4246000,201.8251076
2019-03-06 5:00,2019-03-06 6:00,4243000,4231000,4245000,4221000,4224000,175.4008956
2019-03-06 6:00,2019-03-06 7:00,4231000,4236000,4239000,4215000,4236000,172.6025829
2019-03-06 7:00,2019-03-06 8:00,4236000,4234000,4237000,4226000,4234000,166.1496993
2019-03-06 8:00,2019-03-06 9:00,4234000,4248000,4249000,4230000,4249000,213.8416488
2019-03-06 9:00,2019-03-06 10:00,4248000,4231000,4257000,4210000,4231000,620.7497371
2019-03-06 10:00,2019-03-06 11:00,4231000,4243000,4248000,4225000,4243000,161.3733319
2019-03-06 11:00,2019-03-06 12:00,4243000,4250000,4253000,4239000,4250000,295.779268
2019-03-06 12:00,2019-03-06 13:00,4250000,4239000,4254000,4232000,4239000,302.8236485
2019-03-06 13:00,2019-03-06 14:00,4239000,4243000,4248000,4235000,4243000,315.7059339
2019-03-06 14:00,2019-03-06 15:00,4243000,4243000,4247000,4237000,4243000,216.6514036
2019-03-06 15:00,2019-03-06 16:00,4243000,4252000,4254000,4241000,4252000,228.1398505
2019-03-06 16:00,2019-03-06 17:00,4252000,4256000,4262000,4247000,4256000,235.9468488
2019-03-06 17:00,2019-03-06 18:00,4256000,4255000,4262000,4249000,4255000,326.1516792
2019-03-06 18:00,2019-03-06 19:00,4255000,4257000,4263000,4248000,4256000,240.5750175
2019-03-06 19:00,2019-03-06 20:00,4257000,4259000,4297000,4250000,4259000,435.1125369
2019-03-06 20:00,2019-03-06 21:00,4259000,4263000,4272000,4252000,4263000,270.3430487
2019-03-06 21:00,2019-03-06 22:00,4263000,4268000,4279000,4260000,4268000,235.6764113
2019-03-06 22:00,2019-03-06 23:00,4268000,4258000,4274000,4252000,4255000,305.5034338
2019-03-06 23:00,2019-03-07 0:00,4258000,4248000,4258000,4234000,4248000,261.708056
2019-03-07 0:00,2019-03-07 1:00,4248000,4259000,4261000,4246000,4258000,136.8686547
2019-03-07 1:00,2019-03-07 2:00,4259000,4263000,4264000,4251000,4264000,124.9988824
2019-03-07 2:00,2019-03-07 3:00,4263000,4256000,4265000,4251000,4254000,104.6736928
2019-03-07 3:00,2019-03-07 4:00,4256000,4255000,4260000,4250000,4256000,47.58824414
2019-03-07 4:00,2019-03-07 5:00,4255000,4256000,4260000,4254000,4258000,31.50367422
2019-03-07 5:00,2019-03-07 6:00,4256000,4252000,4263000,4252000,4252000,32.91158383
